,RMSE,MAE,R2
Prophet,57.1967177421418,50.80411385323399,-1.7845443970206576
ARIMA,41.71127154957149,24.253246183660053,-0.4808763271754466
LSTM,43.293948606479745,26.237952338324654,-0.5953880200908162
Ensemble,34.257061341780734,29.965633133485962,0.0011227022111643947
